text
Ищу дизайнера логотипов писать с прайсом и кейсами
"Ищем в свою команду надежного человека, ответственного дизайнера, который сумеет разделить ценности нашей команды и способен творчески подходить к поставленным задачам. Ключевые обязанности, которые предстоит выполнять новому члену нашей команды:— Подготовка креативов под разные виды каналов: телеграм, боты, анкеты и тд — Упаковка презентаций— Визуальное оформлении соцсетей (баннеры, обложки)— Оформление инфопродуктов (гайды, чек-листы, методички)Если вас заинтересовала вакансия - пишите @khomplace с пометкой #дизайн"
"#ищу #вакансия #дизайнер Проект ищет дизайнера с опытом работы в illustator, figma и опытом в разработке мобильных приложений. Для отклика заполнить анкету: https://docs.google.com/forms/d/1zCKblfxKWTSXbYV1J8iZFtXBsOKFF5f2qO4xsUfjX8U/edit"
"#ищу #дизайнер Вакансия: дизайнер презентаций в фигмеМы — продюсерский центр для блогеров-экспертов в Испании и Еврозоне. Сейчас ведем 2 крупных проекта в сферах бьюти и инностранных языков.Главная задача — создавать презентации по лекции в фигме (после завершения работы необходимо оставить исходник работы).Вакансия горящая, присылайте кейсы и прайс в личные сообщения @jiamko"
"Всем привет!Требуется дизайнер для создания макетов на основе фотографий, в различных стилях (с использованием Adobe Photoshope и умением пользоваться встроенной нейросетью FireFly). Основное направление создание тематических макетов фигурок в стиле «шарж».   Удаленная работа. Будет тестовое задание, которое займет 1-2 часа. Всем кандидатам будет выдано одно и то же задание.  Обязанности:  - Создание макетов тематических фигурок, для дальнейшей печати на деревянных основах. Необходимо на основе фотографии преобразовать ее в нужный стиль, поменять одежду, добавить необходимые элементы. - На данный момент необходимо создавать 20-30 шаблонов в неделю  Требования:  -  Знание Adobe Photoshop   - Умение пользоваться нейросетью FireFly (встроенная функция Adobe Photoshop 2023);  -  Наличие Adobe Photoshop 2023  - Творческий и современный подход к созданию новых проектов;  - Навыки обработки фото;  - Знание предпечатной обработки;  Условия работы:  - Удаленная работа,   - Занятость 2-3ч. в день, гибкий график работы   - Работа в дружном и сплоченном коллективе - Интересные творческие проекты - Возможность карьерного и профессионального развития"
"Всем привет!Требуется дизайнер для создания макетов на основе фотографий, в различных стилях (с использованием Adobe Photoshope и умением пользоваться встроенной нейросетью FireFly). Основное направление создание тематических макетов фигурок в стиле «шарж».   Удаленная работа. Будет тестовое задание, которое займет 1-2 часа. Всем кандидатам будет выдано одно и то же задание.  Обязанности:  - Создание макетов тематических фигурок, для дальнейшей печати на деревянных основах. Необходимо на основе фотографии преобразовать ее в нужный стиль, поменять одежду, добавить необходимые элементы. - На данный момент необходимо создавать 20-30 шаблонов в неделю  Требования:  -  Знание Adobe Photoshop   - Умение пользоваться нейросетью FireFly (встроенная функция Adobe Photoshop 2023);  -  Наличие Adobe Photoshop 2023  - Творческий и современный подход к созданию новых проектов;  - Навыки обработки фото;  - Знание предпечатной обработки;  Условия работы:  - Удаленная работа,   - Занятость 2-3ч. в день, гибкий график работы   - Работа в дружном и сплоченном коллективе - Интересные творческие проекты - Возможность карьерного и профессионального развития"
"#ищу #дизайнерНужен дизайнер-художник. Кто умеет рисовать людей на стикерах, нужные нам объекты.Нам нужны стикеры, чтоб печатать можно было и в тг отправлять. Если у вас есть опыт, портфолио, напишите мне, по цене договоримся💕Пишите в лс"
"#ищу #дизайнер #графическийГрафический дизайнерДля блогера-эксперта в области фитнеса ищем дизайнера.Обязанности: —  адаптировать существующий дизайн и фирменный стиль под различные продукты— отрисовка различных изображений, шапок, ретушь, цветокоррекция— дизайн лендингов, баннеров, рассылок— создание презентацийТребования:— наличие портфолио— умение работать с Adobe Photoshop, Canva, Figma и другими профильными программами Проектная занятость! По условиям сотрудничества, желаемой оплате присылайте информацию @lidaasavinaa"
#вакансия #удаленно #графическийдизайнерИщу графического дизайнера для постоянного сотрудничества.Ниша: многопрофильная стоматологическая клиникаЗадача: создание рекламных макетов для сайта и сторонних площадокЗнание  и умение работать в Figma обязательноВаши портфолио направляйте в @EvgSk
"#ИЩУ #ДИЗАЙНЕР #ВЕБ-ДИЗАЙНЕРВсем привет! Меня зовут Кристина, я занимаюсь разработкой сайтов на платформе Taplink.Ищу веб-дизайнера. Если ты:-Ответственный-Опыт работы более 1 года -ИсполнительныйТо буду рада сотрудничеству. Пиши в лс.Сразу с ценой за блок и примерами работы"
