text
"Всем привет. Нужен моушн дизайнер Нужно смонтировать футажи из анрила, игровой геймплей, пишите сразу с портфолио Видео в общем на минуту 30 сек."
"#ищу #reelsмейкерYudaev School - компания растущая в среднем на 612% ежегодно, создающая образовательные продукты в области дизайна и IT.Что по обязанностям?💻 Адаптировать видеоролики под контент в телеграмм-каналах;💻Заниматься съемкой/монтажем и выкладкой во все соц сетиКакие навыки мы оцениваем в наших кандидатах?✅ Опыт работы в создании reels;✅Упакованные кейсы;✅Умение снимать и монтировать видео;✅Интересы в области технологии, арта, дизайна, it.Что мы предлагаем?🔥 Работу в крутом проекте с командой профи;🔥Стабильную работу и разнообразные задачи;🔥Рост, как профи и крутого спеца;🔥Зп состоит из оклада + KPI.за подробностями пиши в лс: @AM_Nikitina❗️присылай сразу своё портфолио и будь готов выполнить ТЗ"
Добрый день!  Ищу видеомонтажера для создания видеоролика на 20-30 сек из материала в 2-3 мин. Частота роликов -1 в неделю.
"#ищу #монтажер #монтажеркоротких #рилсмейкерВсем привет! В наш видеопродакшн открылась новая вакансия монтажера коротких видео🤍Задачи:— скачивание материала любого объёма — профессиональный монтаж вертикальных видео— внесение правок— своевременная сдача необходимых проектов— загрузка готового материала на нужную платформуВсю подробную информацию можно найти в анкетеДЕДЛАЙН заполнения анкеты:20 октября 10:00https://forms.gle/37GNe9ANtVeoek2o7Буду благодарна, если перешлёте это человеку, который бы подошёл именно на эту должность💕"
"Ищу ассистента по контентуЗадача: Монтирование и оформление сторис Монтаж рилс Транскибация текстовС меня: Занятость: 2-3 ч/день, Флексибельный график С вас: Ответственность и умение следовать дедлайнамБазовая грамотность и базовые навыки копирайтингаЗп обсуждается по результатам собеседования📍Если вам интересно попробовать свои силы, то присылайте мне в лс небольшой рассказ о себе и примеры ваших работ, и я пришлю вам небольшое тестовое задание.Мhttps://instagram.com/sophiaikona_?igshid=MzRlODBiNWFlZA=="
"Ребята, всем привет Кто умеет прикольно монтировать рилс?Сам контент есть, нужен монтаж Работы в личку и ценыСпасибо"
"#ищу #рилсмейкерВ компании Yakuba Consulting открыт конкурс на вакансию Рилсмейкер: Задачи: - Монтаж 4 коротких роликов в сутки. (96 роликов в месяц)Ролики можно смонтировать заранее. Условия:- Оплата: 15000-30000 - Опытные адекватные руководители- График работы 5/2 с 09.00 до 18.00 Мск (готовность быть на связи и принять заявку клиента вне рабочего времени - это Ваши бонусы)- Удаленная работа из любой точки мира- Стабильность и уверенность в завтрашнем дне- Нет слабых сотрудников в команде (сильное окружение)- При выполнении плана компания оплачивает поездку на живой тренинг (Москва, Санкт-Петербург, Сочи, Краснодар).Вот немного фактов о нас:1. Мы растём кратно по выручке последние 3 года.2. Получаем сотни входящих заявок и создаем сотни сами каждый месяц, без  фейсбука и гугла. 3. Обучение и продукты, которыми можно гордиться - мы даем реальные навыки, которые меняют стиль работы и жизни4. С 2007 года - ни единой просрочки по зарплате6. Нет сезонности (каждый месяц идут клиенты, которым надо «сейчас»)Свои отклики с примерами работ пишите в личные сообщения: @DaryaYacuba"
"#ищу #рилсмейкерХочешь тратить минимум времени на поиск клиента и работать с адекватными?Это был заголовок для привлечения внимания.Но мы и правда адекватные! Наверное:)И сейчас мы в поиске рилсмейкера для инфопродуктов и не только. Если у тебя есть опыт в данной нише и желание делать результаты, пиши мне в лс!"
"всем привет!ищу моушндизайнера на проектзадача: анимация ролика 40 сек, концепты и музыка есть, также необходима передача проекта чтобы использовать его как шаблон срок: до пятницы за подробностями пишите в лс, присылайте при отклике портфолио 🙏"
"Приветствую! Я дизайнер-интерьеров, ищу монтажера, который сможет на постоянной основе собирать для меня рилс, иногда сам без ТЗ понимать, что можно смонтировать, если я не выхожу на связь, но отправила материал. А иногда сам придумает и найдет референсы, придумает концепцию ролика. ЖЕЛАТЕЛЬНО кто понимает в фешене или девушка исполнитель"
